epoch,arm,lams,var_E,depth,proxy_raw,proxy_hat,w_var,w_depth,reward
1,arm1,"1,3",0.0011974811346462464,3.0,0.26080277553071396,0.21344498492023703,1.3201674773803556,0.7574796509790768,-0.03188006168789957
1,arm2,"1,3,5",0.0012497032189062274,5.0,0.26080277553071396,0.21344498492023703,1.3201674773803556,0.7574796509790768,-0.12284656170262982
1,arm3,"1,3,5,7",0.001239290020957239,7.0,0.26080277553071396,0.21344498492023703,1.3201674773803556,0.7574796509790768,-0.2743287447331774
2,arm1,"1,3",0.0018978460059164985,3.0,0.4139433360522629,0.3387775645474397,1.5081663468211595,0.6630568319653545,-0.029384540756186392
2,arm2,"1,3,5",0.0020300223932535593,5.0,0.4139433360522629,0.3387775645474397,1.5081663468211595,0.6630568319653545,-0.10915070457125509
2,arm3,"1,3,5,7",0.001953775607721567,7.0,0.4139433360522629,0.3387775645474397,1.5081663468211595,0.6630568319653545,-0.24164707812833333
3,arm1,"1,3",0.00244460968035249,3.0,0.5577860794111394,0.45650066824004276,1.684751002360064,0.5935595222078286,-0.027860939497666118
3,arm2,"1,3,5",0.0026760072129474967,5.0,0.5577860794111394,0.45650066824004276,1.684751002360064,0.5935595222078286,-0.09947792938758863
3,arm3,"1,3,5,7",0.002582668542909416,7.0,0.5577860794111394,0.45650066824004276,1.684751002360064,0.5935595222078286,-0.21803258141124876
4,arm1,"1,3",0.0042851197228118325,3.0,0.6848580559964288,0.5604983196102736,1.8407474794154104,0.5432575685599106,-0.02961812607115557
4,arm2,"1,3,5",0.0048147879560067885,5.0,0.6848580559964288,0.5604983196102736,1.8407474794154104,0.5432575685599106,-0.09578401976352488
4,arm3,"1,3,5,7",0.004577728116417236,7.0,0.6848580559964288,0.5604983196102736,1.8407474794154104,0.5432575685599106,-0.2039991661733119
5,arm1,"1,3",0.008896821901093848,3.0,0.7752300165100822,0.6344601158748896,1.9516901738123345,0.5123764075968317,-0.037858896186396505
5,arm2,"1,3,5",0.010052913343094405,5.0,0.7752300165100822,0.6344601158748896,1.9516901738123345,0.5123764075968317,-0.10160039740539734
5,arm3,"1,3,5,7",0.00952380742080563,7.0,0.7752300165100822,0.6344601158748896,1.9516901738123345,0.5123764075968317,-0.20304302809532676
6,arm1,"1,3",0.011989826990265531,3.0,0.8381874644430476,0.685985455271003,2.0289781829065046,0.49285892200551085,-0.04404145426029275
6,arm2,"1,3,5",0.013516837373623445,5.0,0.8381874644430476,0.685985455271003,2.0289781829065046,0.49285892200551085,-0.10628279565385897
6,arm3,"1,3,5,7",0.012811472491465938,7.0,0.8381874644430476,0.685985455271003,2.0289781829065046,0.49285892200551085,-0.20342341009807513
7,arm1,"1,3",0.01487064730318049,3.0,0.9170052535457373,0.750491140734802,2.125736711102203,0.47042514474028907,-0.05042808667983531
7,arm2,"1,3,5",0.016649833893338867,5.0,0.9170052535457373,0.750491140734802,2.125736711102203,0.47042514474028907,-0.11066118629927041
7,arm3,"1,3,5,7",0.01575876304503646,7.0,0.9170052535457373,0.750491140734802,2.125736711102203,0.47042514474028907,-0.20285203323289883
8,arm1,"1,3",0.018533357993406586,3.0,0.9555185047541889,0.7820109752407395,2.173016462861109,0.46018979473507843,-0.05868088382117417
8,arm2,"1,3,5",0.020631045358986435,5.0,0.9555185047541889,0.7820109752407395,2.173016462861109,0.46018979473507843,-0.11846196836872436
8,arm3,"1,3,5,7",0.019832992016621694,7.0,0.9555185047541889,0.7820109752407395,2.173016462861109,0.46018979473507843,-0.20876574426454012
9,arm1,"1,3",0.022136381033673914,3.0,0.9850346288291892,0.8061674231361736,2.2092511347042603,0.45264206693906,-0.06701050759445236
9,arm2,"1,3,5",0.02440000830225474,5.0,0.9850346288291892,0.8061674231361736,2.2092511347042603,0.45264206693906,-0.12632847673879927
9,arm3,"1,3,5,7",0.023472514799422146,7.0,0.9850346288291892,0.8061674231361736,2.2092511347042603,0.45264206693906,-0.21480782405304752
10,arm1,"1,3",0.027382253644611033,3.0,1.0257500542717894,0.8394895507551466,2.25923432613272,0.44262783564897656,-0.0795680407867371
10,arm2,"1,3,5",0.02987668730746092,5.0,1.0257500542717894,0.8394895507551466,2.25923432613272,0.44262783564897656,-0.13831889121998572
10,arm3,"1,3,5,7",0.028674320278048126,7.0,1.0257500542717894,0.8394895507551466,2.25923432613272,0.44262783564897656,-0.22412802948432142
11,arm1,"1,3",0.02958103627789186,3.0,1.043186931342405,0.8537601579441229,2.2806402369161844,0.4384733654231107,-0.08500263620196197
11,arm2,"1,3,5",0.03201059560989363,5.0,1.043186931342405,0.8537601579441229,2.2806402369161844,0.4384733654231107,-0.1431603908232737
11,arm3,"1,3,5,7",0.031081196220975462,7.0,1.043186931342405,0.8537601579441229,2.2806402369161844,0.4384733654231107,-0.22873543826536377
12,arm1,"1,3",0.03587646635537531,3.0,1.0437546220230234,0.8542247646896507,2.281337147034476,0.43833941918664066,-0.0993798921683159
12,arm2,"1,3,5",0.03863969942460145,5.0,1.0437546220230234,0.8542247646896507,2.281337147034476,0.43833941918664066,-0.15828448871745246
12,arm3,"1,3,5,7",0.03716219502478605,7.0,1.0437546220230234,0.8542247646896507,2.281337147034476,0.43833941918664066,-0.24258168688257487
13,arm1,"1,3",0.033998842391237065,3.0,1.0862630842889307,0.8890143410998931,2.3335215116498396,0.42853686799440854,-0.0964785048109205
13,arm2,"1,3,5",0.03613493776818382,5.0,1.0862630842889307,0.8890143410998931,2.3335215116498396,0.42853686799440854,-0.15288755348329056
13,arm3,"1,3,5,7",0.03522672401463567,7.0,1.0862630842889307,0.8890143410998931,2.3335215116498396,0.42853686799440854,-0.23647559075109142
14,arm1,"1,3",0.035500136457074026,3.0,1.0912441060272973,0.8930908855602407,2.339636328340361,0.4274168544430825,-0.10015408309373378
14,arm2,"1,3,5",0.037465307767340854,5.0,1.0912441060272973,0.8930908855602407,2.339636328340361,0.4274168544430825,-0.15604189181581618
14,arm3,"1,3,5,7",0.03657111614323003,7.0,1.0912441060272973,0.8930908855602407,2.339636328340361,0.4274168544430825,-0.23943317949616533
15,arm1,"1,3",0.03881546882985933,3.0,1.103755978267873,0.9033307933843777,2.354996190076567,0.4246291370719744,-0.10839544669323345
15,arm2,"1,3,5",0.0407191399587193,5.0,1.103755978267873,0.9033307933843777,2.354996190076567,0.4246291370719744,-0.16383408139749434
15,arm3,"1,3,5,7",0.03957081587038168,7.0,1.103755978267873,0.9033307933843777,2.354996190076567,0.4246291370719744,-0.24605560995888098
16,arm1,"1,3",0.040454806908263134,3.0,1.12322126795096,0.9192614845145618,2.3788922267718426,0.42036372591666343,-0.11305217472628955
16,arm2,"1,3,5",0.042195774789638624,5.0,1.12322126795096,0.9192614845145618,2.3788922267718426,0.42036372591666343,-0.16763739679635276
16,arm3,"1,3,5,7",0.041084261002981806,7.0,1.12322126795096,0.9192614845145618,2.3788922267718426,0.42036372591666343,-0.24906597047265783
17,arm1,"1,3",0.04551569134237192,3.0,1.1091408105098013,0.9077378225440081,2.3616067338160125,0.4234405270280313,-0.12442778424955796
17,arm2,"1,3,5",0.04735146510047245,5.0,1.1091408105098013,0.9077378225440081,2.3616067338160125,0.4234405270280313,-0.17957602316181465
17,arm3,"1,3,5,7",0.04565005982470331,7.0,1.1091408105098013,0.9077378225440081,2.3616067338160125,0.4234405270280313,-0.26024607841121444
18,arm1,"1,3",0.04331198173469067,3.0,1.1298349228670852,0.9246742009665528,2.3870113014498293,0.4189339193294214,-0.12014354666207207
18,arm2,"1,3,5",0.044785892162947046,5.0,1.1298349228670852,0.9246742009665528,2.3870113014498293,0.4189339193294214,-0.17393385783117538
18,arm3,"1,3,5,7",0.043372612211782985,7.0,1.1298349228670852,0.9246742009665528,2.3870113014498293,0.4189339193294214,-0.2543471264815186
19,arm1,"1,3",0.05582072705389944,3.0,1.1169088081284877,0.9140952707391318,2.3711429061086977,0.42173755003282715,-0.14922842296899663
19,arm2,"1,3,5",0.0579471812771663,5.0,1.1169088081284877,0.9140952707391318,2.3711429061086977,0.42173755003282715,-0.20487905581959998
19,arm3,"1,3,5,7",0.05496444696586637,7.0,1.1169088081284877,0.9140952707391318,2.3711429061086977,0.42173755003282715,-0.2821540765231196
20,arm1,"1,3",0.049607074528097636,3.0,1.1234413183580374,0.9194415771371376,2.3791623657057066,0.42031599625752325,-0.134835924640309
20,arm2,"1,3,5",0.05138199414001527,5.0,1.1234413183580374,0.9194415771371376,2.3791623657057066,0.42031599625752325,-0.1894966661340392
20,arm3,"1,3,5,7",0.04897420072126299,7.0,1.1234413183580374,0.9194415771371376,2.3791623657057066,0.42031599625752325,-0.26783133389925456
21,arm1,"1,3",0.04771040597160747,3.0,1.127366421066627,0.9226539412952276,2.3839809119428415,0.41946644580515674,-0.13051935496956224
21,arm2,"1,3,5",0.04924401759132614,5.0,1.127366421066627,0.9226539412952276,2.3839809119428415,0.41946644580515674,-0.1845114292939241
21,arm3,"1,3,5,7",0.046973714642996,7.0,1.127366421066627,0.9226539412952276,2.3839809119428415,0.41946644580515674,-0.2629923595618089
22,arm1,"1,3",0.04671552029057188,3.0,1.1328792095782434,0.927165691825244,2.390748537737866,0.4182790386420996,-0.12841622337003233
22,arm2,"1,3,5",0.04813174228360378,5.0,1.1328792095782434,0.927165691825244,2.390748537737866,0.4182790386420996,-0.1819955386660375
